Fixture ID,Game Date,Home Team ID,Away Team ID,Home Team Goals,Away Team Goals,Venue,Home Team,Away Team,Home Team Logo,Away Team Logo
192997,2015-04-07,66.0,72.0,3,3,Villa Park (Birmingham),Aston Villa,QPR,https://media.api-sports.io/football/teams/66.png,https://media.api-sports.io/football/teams/72.png
192987,2015-04-11,76.0,45.0,1,1,Liberty Stadium (Swansea),Swansea,Everton,https://media.api-sports.io/football/teams/76.png,https://media.api-sports.io/football/teams/45.png
192988,2015-04-11,41.0,64.0,2,0,"St. Mary's Stadium (Southampton, Hampshire)",Southampton,Hull City,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/64.png
192989,2015-04-11,74.0,52.0,1,4,Stadium of Light (Sunderland),Sunderland,Crystal Palace,https://media.api-sports.io/football/teams/746.png,https://media.api-sports.io/football/teams/52.png
192990,2015-04-11,47.0,66.0,0,1,White Hart Lane (London),Tottenham,Aston Villa,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/66.png
192991,2015-04-11,60.0,46.0,2,3,The Hawthorns (West Bromwich),West Brom,Leicester,https://media.api-sports.io/football/teams/60.png,https://media.api-sports.io/football/teams/46.png
192992,2015-04-11,48.0,75.0,1,1,Boleyn Ground (London),West Ham,Stoke City,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/teams/75.png
192993,2015-04-11,44.0,42.0,0,1,Turf Moor (Burnley),Burnley,Arsenal,https://media.api-sports.io/football/teams/44.png,https://media.api-sports.io/football/teams/42.png
192994,2015-04-12,72.0,49.0,0,1,Loftus Road Stadium (London),QPR,Chelsea,https://media.api-sports.io/football/teams/72.png,https://media.api-sports.io/football/teams/49.png
192995,2015-04-12,33.0,50.0,4,2,Old Trafford (Manchester),Manchester United,Manchester City,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/50.png
192996,2015-04-13,40.0,34.0,2,0,Anfield (Liverpool),Liverpool,Newcastle,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/34.png
192998,2015-04-18,52.0,60.0,0,2,Selhurst Park (London),Crystal Palace,West Brom,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/60.png
192999,2015-04-18,45.0,44.0,1,0,Goodison Park (Liverpool),Everton,Burnley,https://media.api-sports.io/football/teams/45.png,https://media.api-sports.io/football/teams/44.png
193000,2015-04-18,46.0,76.0,2,0,"King Power Stadium (Leicester, Leicestershire)",Leicester,Swansea,https://media.api-sports.io/football/teams/46.png,https://media.api-sports.io/football/teams/76.png
193001,2015-04-18,75.0,41.0,2,1,"Britannia Stadium (Stoke-on-Trent, Staffordshire)",Stoke City,Southampton,https://media.api-sports.io/football/teams/75.png,https://media.api-sports.io/football/teams/41.png
193002,2015-04-18,49.0,33.0,1,0,Stamford Bridge (London),Chelsea,Manchester United,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/33.png
193003,2015-04-19,50.0,48.0,2,0,Etihad Stadium (Manchester),Manchester City,West Ham,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/48.png
193004,2015-04-19,34.0,47.0,1,3,St. James' Park (Newcastle-upon-Tyne),Newcastle,Tottenham,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/47.png
193007,2015-04-25,41.0,47.0,2,2,"St. Mary's Stadium (Southampton, Hampshire)",Southampton,Tottenham,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/47.png
193008,2015-04-25,44.0,46.0,0,1,Turf Moor (Burnley),Burnley,Leicester,https://media.api-sports.io/football/teams/44.png,https://media.api-sports.io/football/teams/46.png
193009,2015-04-25,52.0,64.0,0,2,Selhurst Park (London),Crystal Palace,Hull City,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/64.png
193010,2015-04-25,34.0,76.0,2,3,St. James' Park (Newcastle-upon-Tyne),Newcastle,Swansea,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/76.png
193011,2015-04-25,72.0,48.0,0,0,Loftus Road Stadium (London),QPR,West Ham,https://media.api-sports.io/football/teams/72.png,https://media.api-sports.io/football/teams/48.png
193012,2015-04-25,75.0,74.0,1,1,"Britannia Stadium (Stoke-on-Trent, Staffordshire)",Stoke City,Sunderland,https://media.api-sports.io/football/teams/75.png,https://media.api-sports.io/football/teams/746.png
193013,2015-04-25,60.0,40.0,0,0,The Hawthorns (West Bromwich),West Brom,Liverpool,https://media.api-sports.io/football/teams/60.png,https://media.api-sports.io/football/teams/40.png
193014,2015-04-25,50.0,66.0,3,2,Etihad Stadium (Manchester),Manchester City,Aston Villa,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/66.png
193015,2015-04-26,45.0,33.0,3,0,Goodison Park (Liverpool),Everton,Manchester United,https://media.api-sports.io/football/teams/45.png,https://media.api-sports.io/football/teams/33.png
193016,2015-04-26,42.0,49.0,0,0,Emirates Stadium (London),Arsenal,Chelsea,https://media.api-sports.io/football/teams/42.png,https://media.api-sports.io/football/teams/49.png
193005,2015-04-28,64.0,40.0,1,0,Kingston Communications Stadium (Hull),Hull City,Liverpool,https://media.api-sports.io/football/teams/64.png,https://media.api-sports.io/football/teams/40.png
192946,2015-04-29,46.0,49.0,1,3,"King Power Stadium (Leicester, Leicestershire)",Leicester,Chelsea,https://media.api-sports.io/football/teams/46.png,https://media.api-sports.io/football/teams/49.png
193017,2015-05-02,46.0,34.0,3,0,"King Power Stadium (Leicester, Leicestershire)",Leicester,Newcastle,https://media.api-sports.io/football/teams/46.png,https://media.api-sports.io/football/teams/34.png
193018,2015-05-02,66.0,45.0,3,2,Villa Park (Birmingham),Aston Villa,Everton,https://media.api-sports.io/football/teams/66.png,https://media.api-sports.io/football/teams/45.png
193019,2015-05-02,40.0,72.0,2,1,Anfield (Liverpool),Liverpool,QPR,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/72.png
193020,2015-05-02,74.0,41.0,2,1,Stadium of Light (Sunderland),Sunderland,Southampton,https://media.api-sports.io/football/teams/746.png,https://media.api-sports.io/football/teams/41.png
193021,2015-05-02,76.0,75.0,2,0,Liberty Stadium (Swansea),Swansea,Stoke City,https://media.api-sports.io/football/teams/76.png,https://media.api-sports.io/football/teams/75.png
193022,2015-05-02,48.0,44.0,1,0,Boleyn Ground (London),West Ham,Burnley,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/teams/44.png
193023,2015-05-02,33.0,60.0,0,1,Old Trafford (Manchester),Manchester United,West Brom,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/60.png
193024,2015-05-03,49.0,52.0,1,0,Stamford Bridge (London),Chelsea,Crystal Palace,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/52.png
193025,2015-05-03,47.0,50.0,0,1,White Hart Lane (London),Tottenham,Manchester City,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/50.png
193026,2015-05-04,64.0,42.0,1,3,Kingston Communications Stadium (Hull),Hull City,Arsenal,https://media.api-sports.io/football/teams/64.png,https://media.api-sports.io/football/teams/42.png
193027,2015-05-09,45.0,74.0,0,2,Goodison Park (Liverpool),Everton,Sunderland,https://media.api-sports.io/football/teams/45.png,https://media.api-sports.io/football/teams/746.png
193028,2015-05-09,66.0,48.0,1,0,Villa Park (Birmingham),Aston Villa,West Ham,https://media.api-sports.io/football/teams/66.png,https://media.api-sports.io/football/teams/48.png
193029,2015-05-09,64.0,44.0,0,1,Kingston Communications Stadium (Hull),Hull City,Burnley,https://media.api-sports.io/football/teams/64.png,https://media.api-sports.io/football/teams/44.png
193030,2015-05-09,46.0,41.0,2,0,"King Power Stadium (Leicester, Leicestershire)",Leicester,Southampton,https://media.api-sports.io/football/teams/46.png,https://media.api-sports.io/football/teams/41.png
193031,2015-05-09,34.0,60.0,1,1,St. James' Park (Newcastle-upon-Tyne),Newcastle,West Brom,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/60.png
